time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
729088,127,16.211,5697,158.44,89,-0.048534107953355485,0.4455917745071929,0.2,0.9178661555051804,0.0011979804886323108,0.10286957770586014,880,0.0003,0.0307373046875,0.0040218662
737280,129,15.301999999999998,5697,150.88,90,-0.0488101247974555,0.3992854821844958,0.2,0.9309005737304688,0.0010015353245762526,0.40993237495422363,890,0.0003,0.02930908203125,0.0044478877
745472,130,15.726,5697,154.49,91,-0.04616711337221204,0.3586507766682189,0.2,0.9403464496135712,0.0003429409560339991,0.16780726611614227,900,0.0003,0.0296142578125,0.0049690083
753664,132,15.86,5690,155.74,92,-0.050466032705298855,0.35999444001936354,0.2,0.939109344035387,0.0017789435063605198,0.13499724864959717,910,0.0003,0.02742919921875,0.0027839714
761856,133,16.857,5691,163.64,93,-0.04514551932988979,0.4219092843530234,0.2,0.9327697604894638,0.0004968239283243747,0.07219277322292328,920,0.0003,0.027783203125,0.005699358
770048,135,17.029,5691,165.18,94,-0.045380523164385525,0.34907318603945897,0.2,0.9397193677723408,0.0019376564558115205,0.14287380874156952,930,0.0003,0.02342529296875,0.0025262446
778240,136,16.411,5691,160.44,95,-0.044924580458427954,0.35055889781797306,0.2,0.939574308693409,0.0012284402097066049,0.27158570289611816,940,0.0003,0.02606201171875,0.0048247343
786432,138,17.105,5690,166.03,96,-0.05094928666112537,0.31233114628703335,0.2,0.9495489485561848,0.0011447471912106265,0.1380739063024521,950,0.0003,0.02415771484375,0.0028753926
794624,139,17.503,5691,169.29,97,-0.051956899723154495,0.3795173480641097,0.2,0.931252583861351,0.0011896817467459187,0.31662431359291077,960,0.0003,0.02354736328125,0.0045909155
802816,141,17.562,5688,169.88,98,-0.05412853814959817,0.4540504812146537,0.2,0.9211373701691628,0.0011701259161782218,0.1820937693119049,970,0.0003,0.02357177734375,0.005074221
811008,142,17.653000000000002,5687,170.52,99,-0.05256066807414754,0.5602490294608288,0.2,0.896496444940567,0.000587585844550631,0.24481651186943054,980,0.0003,0.02381591796875,0.004046997
819200,144,17.674,5685,170.64,100,-0.05155943896916142,0.4415609333897009,0.2,0.921520009636879,0.0011788470531428174,0.37171515822410583,990,0.0003,0.02142333984375,0.0040780287
827392,145,16.771,5684,163.41,101,-0.052037230766291034,0.4612593948841095,0.2,0.9250704050064087,2.115470633725636e-05,0.19981828331947327,1000,0.0003,0.02298583984375,0.003415025
835584,147,16.683999999999997,5681,162.63,102,-0.05425590152372024,0.39901052857167085,0.2,0.9274831563234329,0.0013628546244945027,0.41646337509155273,1010,0.0003,0.0245849609375,0.0029369353
843776,148,17.910999999999998,5680,172.56,103,-0.05286861063759716,0.4935754836304113,0.2,0.9111917391419411,0.0011689531337651716,0.22789889574050903,1020,0.0003,0.0242919921875,0.005057038
851968,150,18.209,5674,175.09,104,-0.05582013357416145,0.6609328834223561,0.2,0.8698644489049911,0.000612132192691206,0.2109287679195404,1030,0.0003,0.02838134765625,0.0051281415
860160,151,17.208,5670,166.88,105,-0.05721315558948845,0.6375504253432155,0.2,0.8845428973436356,0.0015903685953162494,0.2980492413043976,1040,0.0003,0.02559814453125,0.0035439143
868352,153,16.956000000000003,5667,164.72,106,-0.06073464466826408,0.6320068006287329,0.2,0.8790621906518936,-0.0006766317143046763,0.14562098681926727,1050,0.0003,0.0300048828125,0.005467398
876544,154,18.339,5663,175.76,107,-0.06567095248392434,0.6705877129803411,0.2,0.8743468523025513,-0.000493669573279476,0.19726046919822693,1060,0.0003,0.032373046875,0.003293518
884736,156,18.885999999999996,5661,180.15,108,-0.05915458190938807,0.687200613913592,0.2,0.8419545590877533,0.0014170307760650758,0.3565199375152588,1070,0.0003,0.02904052734375,0.003554524
892928,157,18.121,5660,174.03,109,-0.05673451975781063,0.5444102234905586,0.2,0.8935630321502686,0.0004685706764576025,0.4583961069583893,1080,0.0003,0.02779541015625,0.0040886556
901120,159,17.699,5660,170.71,110,-0.056535672907193656,0.633442925044801,0.2,0.874990850687027,0.0016919070134463255,0.37926486134529114,1090,0.0003,0.02635498046875,0.004671126
909312,160,17.904,5661,172.4,111,-0.0612478236813331,0.6741532732034102,0.2,0.8749802112579346,-0.0005152437742253823,0.39230772852897644,1100,0.0003,0.03043212890625,0.0042210645
917504,162,19.333000000000002,5661,183.9,112,-0.058335368454572746,0.6453729911940173,0.2,0.8852390497922897,0.0017136072070570662,0.54527348279953,1110,0.0003,0.02867431640625,0.0045376215
925696,163,19.485000000000003,5661,185.15,113,-0.0642280978987401,0.667252965143416,0.2,0.8788935989141464,0.00037494591870199654,0.23622143268585205,1120,0.0003,0.02769775390625,0.0030179895
933888,164,19.337,5661,183.85,114,-0.06160890033788746,0.8701978101511486,0.2,0.8446832448244095,0.0009408916184838745,0.2219594419002533,1130,0.0003,0.02657470703125,0.0028986332
942080,166,19.951,5661,188.64,115,-0.05970262563059805,0.7401819735765457,0.2,0.8660973906517029,0.002220383583153307,0.45853307843208313,1140,0.0003,0.02706298828125,0.0030401926
950272,167,19.37,5661,184.09,116,-0.05736493050862919,0.7494748221011832,0.2,0.8546904176473618,0.0020729946185383597,0.37604787945747375,1150,0.0003,0.023095703125,0.004464969
958464,169,19.528000000000002,5661,185.22,117,-0.06364751677028835,1.0272716430481523,0.2,0.8182328045368195,0.00010589012536001973,0.3692214787006378,1160,0.0003,0.02784423828125,0.0052313907
966656,170,19.113,5661,181.79,118,-0.05905493442332954,0.7583922282792628,0.2,0.8584108054637909,0.0010422386629215907,0.4665810465812683,1170,0.0003,0.02840576171875,0.00283062
974848,172,20.290999999999997,5661,191.5,119,-0.058412008477171186,0.8800001669093035,0.2,0.8367674052715302,0.000847977428111335,0.3298986852169037,1180,0.0003,0.02410888671875,0.0037000696
983040,173,19.722,5661,186.89,120,-0.07856422963523073,0.902260345639661,0.2,0.830277293920517,0.0005106084254293819,0.38422948122024536,1190,0.0003,0.03218994140625,0.0042262543
991232,175,19.869,5661,188.09,121,-0.08049768504424719,0.8196004106663167,0.2,0.8494720458984375,0.0007411058346406208,0.5445821285247803,1200,0.0003,0.02691650390625,0.0029317068
