time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss
80,243712,15.515,153.1,3028,119,0.2,0.9228714555501938,0.3126468360424042,0.005346331,0.029296875,1180,0.0003,0.0031556419813568936,-0.08311265734955668,0.37555020928848537
81,245760,15.373,152.04,3029,120,0.2,0.9059049189090729,0.1593444049358368,0.009969442,0.039208984375,1190,0.0003,-0.00017597567348275333,-0.0868622315756511,0.4645211591385305
81,247808,15.245,151.03,3030,121,0.2,0.8515041321516037,0.298583447933197,0.010098857,0.04150390625,1200,0.0003,-0.0019335077246068976,-0.11120467610890046,0.6545120777562261
82,249856,15.704,154.72,3030,122,0.2,0.864349901676178,0.22413913905620575,0.004504227,0.041796875,1210,0.0003,0.0011716485321812797,-0.09608636939665302,0.6520717990584671
83,251904,15.288999999999998,151.29,3031,123,0.2,0.8765493109822273,0.2731854319572449,0.09680569,0.069091796875,1220,0.0003,-0.0013911671107052826,-0.14228856798727066,0.4787397969979793
83,253952,15.398000000000001,152.11,3032,124,0.2,0.8497809171676636,0.2800271809101105,0.0036287662,0.049365234375,1230,0.0003,-0.0007661405332328286,-0.14308242115657777,0.6317228894215077
84,256000,15.345999999999998,151.59,3032,125,0.2,0.8219234198331833,0.4077777862548828,0.0021921755,0.042919921875,1240,0.0003,0.0013070373694063163,-0.17554191658273338,0.795884981378913
85,258048,14.774000000000001,146.86,3033,126,0.2,0.8353780061006546,0.1370687335729599,0.0026250293,0.034912109375,1250,0.0003,0.0007404734860756435,-0.15237314666155727,0.8199791775085032
85,260096,14.411,143.86,3033,127,0.2,0.8374053984880447,0.19019703567028046,0.006750583,0.055810546875,1260,0.0003,-0.0019349514586792793,-0.14442121202591807,0.5028095924761147
86,262144,14.796999999999999,147.0,3034,128,0.2,0.8939651101827621,0.10301356017589569,0.0043105297,0.04150390625,1270,0.0003,4.0565773088019344e-05,-0.12740425759693608,0.3817436242941767
87,264192,14.085999999999999,141.15,3034,129,0.2,0.9174379035830498,0.1605205535888672,0.00572832,0.038818359375,1280,0.0003,0.0008289283665362746,-0.1365756999468431,0.2607372664147988
87,266240,14.299999999999997,142.93,3033,130,0.2,0.900987908244133,0.22708553075790405,0.005309179,0.05595703125,1290,0.0003,0.0004787432728335261,-0.14461040324531496,0.48689029589295385
