time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
177,82.589,4756,694.24,843776,103,0.0006657664,0.3981250524520874,1020,1.0530277078447399,0.6967968940734863,0.0072411997,-0.09793653478409396,0.0028778845131455454,0.0496826171875,0.2
179,86.963,4756,729.61,851968,104,0.0006624896,0.5208946168422699,1030,0.5848934414971154,0.16003647446632385,0.009454602,-0.08849924530222779,0.001391928139673837,0.04591064453125,0.2
180,88.35000000000002,4756,740.78,860160,105,0.0006592127999999999,0.4861072897911072,1040,0.8772148317657411,1.0134212970733643,0.009166802,-0.08569357483502245,0.002155700104231073,0.041259765625,0.2
182,88.404,4757,741.14,868352,106,0.0006559360000000001,0.4074171185493469,1050,0.6922064932237845,0.24169890582561493,0.007185041,-0.07982431709824596,0.0033275136199335973,0.04212646484375,0.2
184,89.573,4756,750.4,876544,107,0.0006526592000000001,0.3950998783111572,1060,1.1391395771293902,0.5196874141693115,0.008220365,-0.09338751280156429,0.0042811383101252435,0.03876953125,0.2
185,87.03399999999999,4756,729.87,884736,108,0.0006493824,0.5209481418132782,1070,0.9944805102888494,0.10534786432981491,0.009588374,-0.08055958225450013,0.0021820958569151116,0.04259033203125,0.2
187,97.13900000000001,4757,811.48,892928,109,0.0006461056000000001,0.18658751249313354,1080,0.6663435107679107,0.1237860769033432,0.012441387,-0.0795964516713866,0.005187961295996501,0.04239501953125,0.2
189,101.605,4757,847.5,901120,110,0.0006428288,0.26710784435272217,1090,1.2223369980754797,0.845727801322937,0.010754606,-0.09699222277122317,0.00030446215687334187,0.04525146484375,0.2
191,103.96500000000002,4757,866.42,909312,111,0.000639552,0.15626102685928345,1100,0.27368840912531595,0.21031402051448822,0.00967416,-0.07500737490336178,0.004369449993464514,0.045263671875,0.2
192,104.57,4757,871.39,917504,112,0.0006362752,0.2882068157196045,1110,1.4524647205835208,0.041250765323638916,0.0071367947,-0.10439730503712781,-0.00016152200059877942,0.03902587890625,0.2
