rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
32.020999999999994,4761,679936,83,286.12,142,-0.10985870156437158,0.8954932923312299,0.027435608,0.593763917684555,0.2,0.0716064453125,0.003,0.5315184593200684,0.018715159330895403,820
28.070999999999998,4760,688128,84,254.45,144,-0.146652431259281,0.852158785215579,0.07787341,0.6205193400382996,0.2,0.11749267578125,0.003,0.27393656969070435,0.0033778315952986302,830
24.372,4759,696320,85,224.3,146,-0.13311344847024884,1.8144493058789521,0.03273833,0.45460033416748047,0.2,0.065966796875,0.003,0.6630027890205383,0.0019087654327449854,840
14.647999999999998,4758,704512,86,145.42,148,-0.13363530738279222,1.6994445950724184,0.09700772,0.4390111565589905,0.2,0.11072998046875,0.003,0.8078346848487854,0.010597178948955843,850
10.588,4759,712704,87,113.19,149,-0.1783540066302521,0.8324463967699558,0.14477049,0.2745790481567383,0.2,0.17957763671875,0.003,0.29762178659439087,-0.016675578317517648,860
9.683,4759,720896,88,106.39,151,-0.1611658344278112,0.9802999069681391,0.045354173,0.5652793943881989,0.2,0.1352294921875,0.003,0.5459377765655518,0.01138946711034805,870
9.325999999999999,4759,729088,89,103.63,153,-0.15146858171792701,0.3899617763236165,0.019741416,0.8096799254417419,0.2,0.0977783203125,0.003,0.1663927435874939,0.010993155968026257,880
9.29,4760,737280,90,103.45,154,-0.19455090816773007,0.29616892206249756,0.0924182,0.9297247231006622,0.2,0.148974609375,0.003,0.07545420527458191,0.02608189376514929,890
10.516000000000002,4760,745472,91,112.56,156,-0.26112329144380053,0.4561135958298109,0.06287394,0.9052295014262199,0.2,0.12855224609375,0.003,0.23128600418567657,0.0020550016339257126,900
11.261999999999999,4760,753664,92,118.85,158,-0.2933891482418403,0.4123119849828072,0.04941004,0.8187115490436554,0.2,0.17275390625,0.003,0.14404873549938202,-0.012639201308047632,910
11.509,4760,761856,93,121.14,160,-0.30783580595161764,0.33475274152006024,0.049323373,0.8362870514392853,0.2,0.21494140625,0.003,0.11417447775602341,-0.008385996225479175,920
12.045,4760,770048,94,125.15,161,-0.3371897743898444,0.325099997757934,0.024795864,0.8174177706241608,0.2,0.1646240234375,0.003,0.16337941586971283,0.028375471202161863,930
13.564999999999998,4760,778240,95,137.38,163,-0.3018210152979009,0.47601165309315546,0.022482675,0.7788204252719879,0.2,0.11939697265625,0.003,0.18336211144924164,0.0012779925699760498,940
14.552,4760,786432,96,145.36,165,-0.2435180822678376,0.4362238490954041,0.025728513,0.7161558866500854,0.2,0.10389404296875,0.003,0.18080711364746094,0.004503367152210558,950
16.483,4759,794624,97,160.8,166,-0.214488871418871,0.515682342380751,0.028774392,0.7576300650835037,0.2,0.110009765625,0.003,0.17194099724292755,0.004396468202867254,960
17.907,4757,802816,98,171.71,168,-0.1842357388290111,0.761312717339024,0.054498028,0.5521468818187714,0.2,0.1078125,0.003,0.18248692154884338,0.00531931193145283,970
17.971999999999998,4757,811008,99,172.18,170,-0.1513923028483987,0.9444955179817043,0.02676141,0.6133592426776886,0.2,0.10963134765625,0.003,0.3501224219799042,-0.0015495809744606958,980
